Gender
,DE,EN,%-Anteil,
,,,,
Männlich,37,6,44.7916666666667,
Weiblich,49,2,53.125,
Nicht binär,1,,1.04166666666667,
Möchte ich lieber nicht sagen,1,,1.04166666666667,
,,,0,
,,,,
,,,,
,,,,
,,,,100
Total,88,8,96,
