Introduction to Topic (open Question)
,DE,EN,%-Anteil,
,,,,
Thema + Chatbot,26,2,29.1666666666667,
Thema,17,2,19.7916666666667,
Chatbot,36,3,40.625,
Direkt in Debatte,4,1,5.20833333333333,
Unbrauchbar oder keine Antwort,5,,5.20833333333333,
,,,,100
Total,88,8,96,
